t,x,x_clean,v,a,F,label
0.0,-0.01980571967560407,-0.01980571967560407,0.0007883775966813554,0.034444653305537754,0.024835707650561634,0
0.0010000333344444814,-0.010549856469368719,-0.010549856469368719,0.005653810539501143,-0.00813676867059196,-0.004399867741611503,0
0.002000066668888963,-0.0058702592272182105,-0.0058702592272182105,0.0034314181191812025,0.03158415452392131,0.037411058032126104,0
0.003000100003333444,0.0014967343435409125,0.0014967343435409125,-0.012721363432143248,0.09293682981622388,0.08369128074563323,0
0.004000133337777926,0.010241726278912566,0.010241726278912566,-0.0017208207622582703,-0.02918444548836564,-0.0016549145267876278,0
0.005000166672222407,0.00694160382881945,0.00694160382881945,0.0066673087006927445,-0.0121096623279381,0.0008586186348979868,0
0.006000200006666888,-0.011792864076163201,-0.011792864076163201,0.00432056089514769,0.09624711640904625,0.09403850202877725,0
0.00700023334111137,-0.0037165985556741007,-0.0037165985556741007,-0.007584725947347464,0.06398048247096101,0.05596161149744139,0
0.008000266675555852,0.0007645139312662141,0.0007645139312662141,0.0044486131635597965,0.004645956415779983,-0.003372274928334345,0
0.009000300010000333,-0.00262102362180353,-0.00262102362180353,0.009434649135515269,0.02206027487948981,0.049740507956679746,0
0.010000333344444815,-0.002691618879404009,-0.002691618879404009,-0.009427942824056382,-0.003418170865809908,0.0019521111770335262,0
0.011000366678889296,-0.017225764819725733,-0.017225764819725733,-0.019265866975793185,0.01241228002728759,0.004346363376118961,0
0.012000400013333776,-0.011525336614169091,-0.011525336614169091,0.018080912563628634,0.03141979893677739,0.04224012164804199,0
0.013000433347778258,-0.00402705331546586,-0.00402705331546586,0.0035353174459883735,-0.06596699060746423,-0.06301360877083204,0
0.01400046668222274,-0.030929529605219542,-0.030929529605219542,-0.004254583448448193,-0.04710992676177489,-0.05108791777574671,0
0.015000500016667221,0.006409488679171091,0.006409488679171091,-0.004648838072063557,0.009742159845508101,0.009550279410399262,0
0.016000533351111703,-0.013723478803160608,-0.013723478803160608,0.0017437095502930288,-0.0060602250033395385,-0.010471169825420984,0
0.017000566685556183,0.006871969330776523,0.006871969330776523,0.010675037160303893,0.05619000199707064,0.05838746812188653,0
0.018000600020000666,0.005993012895889333,0.005993012895889333,-0.014775109885049813,0.004912174309675463,-0.00022246528983654867,0
0.019000633354445146,-0.005432754808459945,-0.005432754808459945,-0.003687457794111331,-0.017568868520090528,-0.022933951154606162,0
0.02000066668888963,0.010009980867483401,0.010009980867483401,0.016838161558357774,0.13146744482445932,0.12346496298340345,0
